Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
TakeByteString/ExMemory 108/ExMemory 16384,1.7515320454834154e-6,1.6861143890214685e-6,2.002805747644665e-6,4.0073811812702543e-7,3.357583576987062e-8,8.461057353196559e-7
TakeByteString/ExMemory 108/ExMemory 32768,1.7778650112460887e-6,1.7048543837884045e-6,2.0358881690355517e-6,4.3586335040399534e-7,8.547806054956636e-8,9.13885807805319e-7
TakeByteString/ExMemory 108/ExMemory 65536,1.6998510046872893e-6,1.6816953757160545e-6,1.7224887411143966e-6,6.564056148403957e-8,4.0799042209178645e-8,8.407772002183897e-8
TakeByteString/ExMemory 108/ExMemory 131072,1.7233257217663352e-6,1.7026108309217623e-6,1.7579307058762459e-6,9.243557445328368e-8,7.108623316134534e-8,1.1723631032085826e-7
TakeByteString/ExMemory 216/ExMemory 0,1.6912117822678678e-6,1.679396676247198e-6,1.7096720147218153e-6,4.805978157964066e-8,3.4340222621432154e-8,6.52307852730464e-8
TakeByteString/ExMemory 216/ExMemory 0,1.6834174291101103e-6,1.6756715178284397e-6,1.7004124606477027e-6,3.345200507342841e-8,2.1617164671248147e-8,5.574235132338219e-8
TakeByteString/ExMemory 216/ExMemory 1,1.7508516486130926e-6,1.7017857461398211e-6,1.895301148356484e-6,2.8380977756495947e-7,7.105946139170208e-8,5.306299810666594e-7
TakeByteString/ExMemory 216/ExMemory 2,1.6842379431739048e-6,1.6759462810891557e-6,1.6982368658525311e-6,3.61023376382219e-8,2.2757769329276935e-8,5.8556719528678644e-8
TakeByteString/ExMemory 216/ExMemory 4,1.7059728079166493e-6,1.6826772558693243e-6,1.7488903626413461e-6,1.0246926435061498e-7,6.25852562315469e-8,1.493074657083428e-7
TakeByteString/ExMemory 216/ExMemory 8,1.6940376468783994e-6,1.6826198103212276e-6,1.7132529042167642e-6,4.987167111631253e-8,3.4002058686181425e-8,8.091949896761544e-8
TakeByteString/ExMemory 216/ExMemory 16,1.7430806953546483e-6,1.7046089526320874e-6,1.8077560869064223e-6,1.6658093081336388e-7,8.357280345584052e-8,2.7879051143936867e-7
TakeByteString/ExMemory 216/ExMemory 32,1.8245789733006723e-6,1.757362548945085e-6,2.0261566109405315e-6,3.41921023342554e-7,1.267340126875899e-7,6.811759890525578e-7
TakeByteString/ExMemory 216/ExMemory 64,1.6875365071865312e-6,1.6771239693010315e-6,1.7064085000033307e-6,4.2389434605972316e-8,2.7995719980458875e-8,6.179386084364264e-8
TakeByteString/ExMemory 216/ExMemory 128,1.691727841658746e-6,1.6721218858128991e-6,1.7299295038774668e-6,8.637760380589322e-8,4.6440551358813014e-8,1.2961082652070076e-7
TakeByteString/ExMemory 216/ExMemory 256,1.7743765183939676e-6,1.6982962527649058e-6,2.033670801632323e-6,4.5331385176551367e-7,9.344514561576796e-8,9.417020212362178e-7
TakeByteString/ExMemory 216/ExMemory 512,1.6924005572364909e-6,1.679657884975409e-6,1.7102908287601548e-6,4.96352944032322e-8,3.2950856693191206e-8,6.544233167309989e-8
TakeByteString/ExMemory 216/ExMemory 1024,1.7307232355360009e-6,1.7107249022235416e-6,1.7598579693835875e-6,8.046090929106172e-8,6.641932135861744e-8,9.076196622801027e-8
TakeByteString/ExMemory 216/ExMemory 2048,1.7235805997625883e-6,1.7000046934179155e-6,1.7512188948929989e-6,8.292665547026104e-8,6.578270043447942e-8,1.0380971018330555e-7
TakeByteString/ExMemory 216/ExMemory 4096,1.7359035947983278e-6,1.7149790349476878e-6,1.7638159325788116e-6,8.576195815344571e-8,7.38068908497557e-8,9.744403173328178e-8
TakeByteString/ExMemory 216/ExMemory 8192,1.707766507341069e-6,1.687416455551123e-6,1.7428325031259173e-6,8.569503627578379e-8,4.394128981581169e-8,1.280418670166036e-7
TakeByteString/ExMemory 216/ExMemory 16384,1.7966611733485218e-6,1.7293582961317463e-6,2.114331553097177e-6,3.8190305720525696e-7,1.2791916457547607e-7,8.867016303226e-7
TakeByteString/ExMemory 216/ExMemory 32768,1.7829645936050194e-6,1.7413137992745479e-6,1.8377051004147114e-6,1.6609711887613722e-7,1.4090277049153964e-7,1.875227782615845e-7
TakeByteString/ExMemory 216/ExMemory 65536,1.7776023970803991e-6,1.740316003867799e-6,1.8241118734429163e-6,1.5704240246849838e-7,1.3091960723439698e-7,1.7876141058379957e-7
